Department,JobRole,JobLevel,Gender,EducationField,EnvironmentSatisfaction,MaritalStatus,WorkLifeBalance,OverTime,AvgMonthlyIncome,AvgAge,TotalEmployees,Attritions,AttritionRate
Sales,"Sales Executive",2,Female,Medical,1,Divorced,3,Yes,5605.00,38.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",3,Divorced,1,No,6397.00,26.0,1,0,0.00
"Research & Development","Research Director",5,Male,"Life Sciences",1,Divorced,2,No,19144.00,50.0,1,0,0.00
"Research & Development","Research Director",4,Male,Medical,3,Married,2,Yes,17584.00,53.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",2,Married,3,No,7048.33,34.7,3,1,33.33
Sales,"Sales Executive",2,Male,"Life Sciences",2,Single,2,No,4554.00,29.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Technical Degree",2,Married,3,Yes,5415.00,55.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,Medical,1,Married,3,Yes,4741.00,26.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",4,Single,3,No,2643.67,33.3,3,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",4,Divorced,1,Yes,3161.00,44.0,1,1,100.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",4,Divorced,3,No,6234.75,34.0,4,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,1,Divorced,3,Yes,2373.00,26.0,1,1,100.00
"Research & Development","Research Director",5,Female,"Life Sciences",3,Single,3,Yes,18665.00,49.0,1,0,0.00
"Research & Development","Research Scientist",2,Male,"Technical Degree",3,Single,3,No,4485.00,36.0,1,0,0.00
Sales,"Sales Representative",1,Female,Marketing,4,Divorced,2,No,2570.00,32.5,2,1,50.00
Sales,"Sales Executive",2,Male,Marketing,4,Single,3,Yes,5828.00,26.0,1,1,100.00
Sales,"Sales Executive",4,Female,Marketing,3,Married,4,No,13525.00,42.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",3,Single,3,No,2291.00,31.0,2,1,50.00
"Research & Development","Manufacturing Director",2,Male,Medical,4,Divorced,3,No,5482.00,51.0,1,0,0.00
Sales,Manager,4,Male,"Life Sciences",4,Single,3,No,16729.50,37.0,2,0,0.00
Sales,"Sales Representative",1,Female,Medical,4,Single,3,No,1200.00,18.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,Medical,2,Single,3,No,5530.00,36.5,2,0,0.00
Sales,"Sales Executive",2,Male,"Technical Degree",2,Married,2,No,6929.00,31.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Male,Medical,3,Divorced,2,No,9613.00,39.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Female,"Life Sciences",2,Married,3,No,5674.00,36.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",4,Married,2,No,5144.67,30.3,3,0,0.00
"Research & Development","Research Director",3,Female,"Life Sciences",1,Married,3,No,11887.00,37.0,2,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",4,Divorced,3,Yes,4864.50,49.0,2,0,0.00
"Research & Development","Research Scientist",1,Male,"Technical Degree",3,Married,3,Yes,3629.00,37.0,2,1,50.00
"Human Resources","Human Resources",2,Male,"Human Resources",1,Married,3,No,6410.00,31.0,1,0,0.00
"Research & Development","Laboratory Technician",3,Male,"Life Sciences",1,Divorced,3,No,5210.00,45.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Divorced,1,Yes,2695.00,31.0,1,0,0.00
"Research & Development",Manager,3,Female,"Life Sciences",4,Married,3,No,11878.00,33.0,1,0,0.00
"Research & Development",Manager,4,Male,Medical,3,Married,3,Yes,17068.00,39.0,1,0,0.00
"Research & Development","Healthcare Representative",4,Female,"Technical Degree",3,Single,3,Yes,13964.00,49.0,1,0,0.00
"Research & Development","Research Scientist",2,Male,Medical,3,Married,2,No,4941.00,52.0,1,1,100.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",3,Single,2,Yes,2478.00,27.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Technical Degree",3,Married,3,Yes,5228.00,32.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",4,Single,3,Yes,4478.00,27.0,1,0,0.00
"Research & Development","Research Scientist",2,Female,Medical,1,Single,2,No,5055.00,32.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,1,Married,2,Yes,3464.00,28.0,1,1,100.00
"Research & Development","Research Scientist",2,Female,Medical,4,Married,3,No,5775.00,30.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Female,"Life Sciences",3,Married,3,No,9058.33,33.7,3,0,0.00
"Research & Development",Manager,5,Male,Medical,3,Married,3,No,19272.00,39.0,1,0,0.00
Sales,"Sales Executive",2,Female,Medical,4,Married,2,Yes,6670.50,36.5,2,1,50.00
Sales,"Sales Executive",2,Male,Marketing,2,Single,2,No,5084.50,33.0,2,0,0.00
"Research & Development","Research Director",5,Male,"Life Sciences",4,Married,3,No,19015.33,47.0,3,0,0.00
"Research & Development","Laboratory Technician",2,Female,"Life Sciences",3,Divorced,4,No,5257.00,43.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,3,Married,3,Yes,6364.50,33.5,2,1,50.00
"Research & Development","Research Scientist",2,Female,"Life Sciences",4,Single,2,No,4869.00,54.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Female,"Life Sciences",3,Married,2,No,9404.00,40.5,2,0,0.00
"Research & Development","Research Scientist",2,Male,Other,4,Married,3,No,3697.00,45.0,1,0,0.00
Sales,"Sales Executive",2,Male,Medical,2,Married,2,Yes,7457.00,40.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Other,2,Married,2,Yes,2119.00,29.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,Other,2,Single,3,No,3983.00,29.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,4,Divorced,3,No,5537.33,33.3,3,0,0.00
Sales,"Sales Executive",2,Female,Marketing,2,Married,3,No,5314.00,38.3,3,0,0.00
"Research & Development","Manufacturing Director",2,Male,Medical,4,Divorced,2,No,6347.00,37.0,1,0,0.00
"Research & Development","Research Director",3,Male,"Life Sciences",3,Divorced,3,Yes,11510.00,38.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Female,Medical,3,Single,2,Yes,7143.00,31.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,4,Divorced,3,Yes,8268.00,29.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Male,"Technical Degree",3,Single,3,No,8095.00,35.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Divorced,2,No,2904.00,23.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,Medical,4,Single,3,Yes,6032.00,41.0,1,0,0.00
Sales,"Sales Representative",2,Male,Medical,2,Single,3,No,2976.00,47.0,1,0,0.00
"Research & Development","Research Director",4,Female,"Life Sciences",1,Single,3,No,15992.00,42.0,1,0,0.00
"Human Resources","Human Resources",1,Male,"Technical Degree",3,Divorced,3,Yes,2696.00,42.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,Medical,3,Married,3,No,2911.00,34.5,2,0,0.00
Sales,Manager,3,Female,Medical,1,Married,1,No,12504.00,48.0,1,0,0.00
"Research & Development","Research Scientist",2,Male,Medical,3,Divorced,3,Yes,5974.00,37.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Technical Degree",4,Married,4,Yes,4736.00,30.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",3,Married,3,No,6648.00,30.7,3,0,0.00
"Research & Development","Healthcare Representative",2,Male,Other,1,Single,3,No,6781.00,42.0,1,0,0.00
Sales,"Sales Representative",1,Female,"Technical Degree",1,Single,3,Yes,2688.00,22.5,2,2,100.00
Sales,"Sales Executive",2,Female,Medical,4,Single,3,No,6653.00,36.0,1,0,0.00
Sales,"Sales Executive",3,Male,Medical,1,Married,3,No,9699.00,36.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,Medical,4,Married,3,No,6755.00,57.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",4,Married,3,Yes,2213.00,40.0,1,0,0.00
Sales,"Sales Representative",1,Male,Medical,1,Single,2,No,2610.00,21.0,1,0,0.00
Sales,"Sales Representative",1,Female,Marketing,4,Single,3,Yes,2587.00,26.5,2,2,100.00
"Research & Development","Manufacturing Director",2,Female,Medical,3,Married,4,No,5991.50,39.0,2,0,0.00
Sales,"Sales Executive",2,Male,Marketing,1,Single,3,No,7380.00,50.5,2,1,50.00
"Research & Development","Healthcare Representative",3,Male,"Technical Degree",4,Single,3,No,10496.00,50.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Single,3,Yes,2796.50,37.5,2,1,50.00
Sales,"Sales Representative",1,Female,"Life Sciences",3,Single,3,No,2716.00,21.0,1,1,100.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",3,Single,3,No,6051.00,40.5,2,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,4,Divorced,3,No,3816.00,27.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",2,Single,3,No,6622.00,37.0,2,0,0.00
"Research & Development","Healthcare Representative",3,Male,Other,2,Single,3,No,10965.00,49.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",3,Married,2,No,4936.00,51.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",4,Married,3,No,2543.00,36.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,1,Single,2,Yes,5304.00,34.0,1,1,100.00
"Research & Development",Manager,4,Female,"Life Sciences",3,Single,3,Yes,16659.00,55.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,4,Divorced,4,Yes,4260.00,24.0,1,0,0.00
Sales,"Sales Representative",1,Male,"Technical Degree",3,Married,3,No,2476.00,30.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Technical Degree",3,Single,3,No,3102.00,26.0,1,1,100.00
"Research & Development","Research Scientist",1,Female,Medical,1,Married,3,No,2593.00,39.0,2,0,0.00
Sales,"Sales Executive",3,Male,Medical,2,Married,3,No,7596.00,36.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Technical Degree",3,Single,3,Yes,2285.00,30.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",4,Divorced,2,No,3034.00,37.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",2,Divorced,3,No,2576.00,42.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",3,Single,2,Yes,4197.00,37.0,1,0,0.00
"Research & Development","Research Director",4,Male,"Life Sciences",1,Divorced,3,No,14336.00,43.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Female,Medical,2,Married,3,No,3448.00,40.0,1,0,0.00
"Research & Development","Research Director",5,Male,Medical,1,Married,2,No,19406.00,54.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,3,Married,3,No,5465.50,37.5,2,0,0.00
"Research & Development","Manufacturing Director",2,Female,Medical,2,Married,1,No,4306.00,31.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,4,Married,3,No,2570.67,35.3,3,0,0.00
"Research & Development","Healthcare Representative",2,Female,Other,3,Divorced,3,Yes,4522.00,43.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",2,Single,3,Yes,5442.00,36.0,2,1,50.00
"Research & Development","Research Scientist",2,Female,Medical,2,Married,3,Yes,3410.50,39.5,2,0,0.00
"Research & Development",Manager,5,Male,"Life Sciences",2,Divorced,3,Yes,19197.00,39.0,1,0,0.00
Sales,"Sales Executive",4,Female,"Life Sciences",3,Married,2,No,13212.00,56.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Technical Degree",2,Single,3,No,6577.00,30.0,1,0,0.00
Sales,"Sales Executive",3,Male,Marketing,2,Married,3,No,9494.00,46.0,2,0,0.00
"Research & Development","Manufacturing Director",3,Male,Medical,4,Married,3,Yes,7969.00,52.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Married,2,No,3043.50,38.5,2,0,0.00
"Research & Development",Manager,4,Female,"Life Sciences",4,Married,1,No,15978.50,50.0,2,0,0.00
"Research & Development","Research Scientist",2,Female,"Life Sciences",1,Divorced,3,No,4556.00,42.0,1,0,0.00
"Research & Development",Manager,5,Female,"Life Sciences",1,Married,1,No,19566.00,60.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,Medical,3,Divorced,2,No,4810.00,46.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,"Technical Degree",4,Married,4,No,4523.00,42.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",4,Married,3,Yes,2784.50,33.0,2,0,0.00
Sales,Manager,5,Female,"Life Sciences",3,Married,3,No,18041.00,40.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",1,Divorced,1,No,2886.00,26.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",3,Married,1,No,2097.00,30.0,1,0,0.00
"Research & Development","Research Director",3,Male,Medical,2,Married,3,No,11935.00,29.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Technical Degree",3,Married,4,No,2546.00,29.0,1,1,100.00
"Human Resources","Human Resources",1,Male,"Technical Degree",1,Single,4,No,2564.00,19.0,1,1,100.00
Sales,"Sales Executive",3,Female,Other,3,Married,3,No,8412.00,30.0,1,0,0.00
Sales,Manager,4,Male,Marketing,1,Divorced,2,No,14118.00,57.0,1,0,0.00
"Research & Development",Manager,4,Male,"Life Sciences",2,Married,3,No,17046.00,50.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,Medical,3,Single,2,No,2564.00,30.0,1,0,0.00
Sales,"Sales Executive",3,Female,Marketing,3,Married,4,No,8960.00,54.5,2,1,50.00
"Research & Development","Manufacturing Director",2,Female,Medical,1,Divorced,3,No,5070.00,47.0,1,0,0.00
"Research & Development","Research Director",4,Male,"Life Sciences",1,Married,1,No,17861.00,46.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",4,Single,3,No,2913.25,34.5,4,1,25.00
"Research & Development","Laboratory Technician",2,Female,"Life Sciences",3,Single,3,No,3780.00,54.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",4,Divorced,3,No,2689.00,36.0,2,0,0.00
Sales,"Sales Executive",3,Female,Marketing,3,Married,3,Yes,9071.00,46.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Male,"Life Sciences",3,Divorced,4,No,10461.00,33.0,2,0,0.00
"Research & Development",Manager,3,Male,Medical,2,Married,4,Yes,13610.00,33.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,Medical,1,Divorced,3,No,3002.00,30.5,2,2,100.00
Sales,"Sales Representative",1,Male,Marketing,4,Single,3,No,2983.00,30.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Male,"Life Sciences",4,Married,3,Yes,7976.50,35.5,2,0,0.00
"Research & Development","Healthcare Representative",3,Male,"Life Sciences",1,Married,3,No,8667.00,37.0,2,1,50.00
"Human Resources","Human Resources",3,Female,"Human Resources",2,Divorced,3,Yes,9950.00,34.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,Other,2,Married,3,No,2093.00,42.0,1,0,0.00
Sales,"Sales Executive",3,Male,Medical,2,Single,2,No,9980.00,36.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Technical Degree",3,Single,3,No,3894.00,22.0,1,1,100.00
Sales,Manager,4,Female,"Life Sciences",1,Single,3,No,16835.00,55.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",4,Single,3,No,5546.00,34.0,3,0,0.00
Sales,"Sales Executive",2,Male,Marketing,2,Married,3,No,5675.33,40.0,3,0,0.00
"Research & Development","Manufacturing Director",4,Female,"Life Sciences",2,Single,3,No,13237.00,40.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",3,Married,3,No,3043.50,35.5,2,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",2,Single,4,Yes,6582.00,31.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Male,Medical,4,Married,2,Yes,7406.00,42.0,1,0,0.00
Sales,"Sales Executive",2,Male,Other,4,Married,4,No,4805.00,45.0,1,0,0.00
"Human Resources","Human Resources",1,Female,"Life Sciences",2,Divorced,2,Yes,2741.00,26.0,1,1,100.00
"Research & Development","Manufacturing Director",2,Male,"Technical Degree",4,Divorced,4,No,4262.00,29.0,1,0,0.00
"Research & Development","Research Director",4,Female,Medical,1,Divorced,3,No,16184.00,33.0,1,0,0.00
Sales,Manager,3,Male,"Life Sciences",3,Divorced,2,No,11557.00,31.0,1,0,0.00
Sales,"Sales Representative",1,Male,Marketing,2,Single,3,Yes,1878.00,18.0,1,1,100.00
Sales,"Sales Executive",3,Male,Other,3,Divorced,3,No,10932.00,40.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,Other,1,Single,3,Yes,6811.00,41.0,1,0,0.00
Sales,"Sales Executive",2,Male,Medical,1,Divorced,3,No,4171.50,29.5,2,0,0.00
Sales,"Sales Executive",2,Female,Medical,1,Single,3,No,4859.00,35.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Technical Degree",3,Single,1,Yes,2340.00,26.0,1,1,100.00
"Research & Development","Manufacturing Director",3,Female,"Technical Degree",2,Single,4,No,7491.00,37.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Female,Medical,1,Married,2,No,10527.00,46.0,1,0,0.00
Sales,Manager,4,Female,"Life Sciences",2,Married,3,No,16595.00,41.0,1,0,0.00
Sales,"Sales Executive",3,Male,Medical,1,Divorced,3,No,8834.00,37.0,1,0,0.00
"Research & Development","Research Scientist",2,Male,"Technical Degree",4,Divorced,3,Yes,5577.00,52.0,1,0,0.00
Sales,"Sales Executive",2,Male,Other,4,Married,3,No,4707.00,32.0,1,1,100.00
Sales,"Sales Representative",1,Male,Medical,4,Married,3,No,1726.00,26.0,2,0,0.00
"Research & Development","Healthcare Representative",2,Female,Medical,3,Married,3,No,7034.00,39.0,2,0,0.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",2,Married,2,No,6176.50,41.0,2,0,0.00
"Research & Development","Research Director",5,Male,"Life Sciences",4,Divorced,3,Yes,19502.00,49.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,2,Married,3,Yes,2725.00,24.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,1,Married,4,No,6272.00,26.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Other,4,Married,3,No,2127.00,24.0,1,0,0.00
"Human Resources",Manager,5,Male,Medical,1,Married,3,No,18200.00,50.0,1,0,0.00
Sales,"Sales Representative",1,Male,Medical,2,Married,3,No,2182.50,28.5,2,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",1,Married,3,Yes,2886.00,24.0,1,1,100.00
Sales,"Sales Representative",1,Male,"Life Sciences",2,Married,4,No,2181.00,30.5,2,1,50.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",2,Married,3,Yes,3090.50,39.0,2,0,0.00
Sales,"Sales Executive",2,Male,Medical,2,Divorced,1,No,4233.00,31.0,1,1,100.00
"Research & Development","Laboratory Technician",2,Male,Other,1,Single,3,No,3681.00,35.0,1,0,0.00
Sales,"Sales Executive",2,Male,Medical,1,Divorced,4,No,5460.00,31.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,1,Divorced,2,No,2187.00,27.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,4,Married,2,Yes,9602.00,37.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",4,Single,4,No,2836.00,20.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,"Life Sciences",3,Married,3,No,4118.50,38.5,2,0,0.00
"Research & Development","Research Director",4,Male,Other,2,Divorced,2,Yes,16627.00,43.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",3,Single,2,No,2619.00,38.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,Medical,4,Divorced,3,Yes,5679.00,43.0,1,0,0.00
"Human Resources","Human Resources",2,Female,"Life Sciences",1,Single,4,No,5985.00,44.0,1,0,0.00
Sales,"Sales Representative",1,Female,"Technical Degree",3,Divorced,3,Yes,2579.00,34.0,1,0,0.00
Sales,"Sales Representative",1,Male,Marketing,3,Divorced,3,No,3041.00,27.0,1,1,100.00
Sales,"Sales Representative",1,Male,"Technical Degree",3,Single,3,No,2269.00,25.0,2,1,50.00
"Research & Development",Manager,5,Male,Other,4,Married,4,Yes,19513.00,44.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,1,Married,3,No,2777.00,27.5,2,0,0.00
Sales,"Sales Executive",2,Male,Marketing,3,Divorced,3,No,6295.00,40.5,2,0,0.00
"Research & Development","Research Scientist",2,Female,"Life Sciences",1,Married,2,Yes,6322.00,32.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,3,Divorced,3,No,2230.00,29.0,2,0,0.00
Sales,"Sales Executive",2,Female,Medical,4,Single,4,No,8381.00,53.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",2,Married,2,No,2776.50,32.0,2,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",1,Married,3,No,5210.25,38.3,4,1,25.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",3,Married,3,Yes,2659.00,26.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Male,Other,3,Married,3,No,9434.00,37.0,1,0,0.00
Sales,"Sales Executive",2,Female,Medical,2,Married,2,No,5050.00,31.0,2,0,0.00
"Research & Development","Research Scientist",2,Male,"Life Sciences",2,Single,3,No,6646.00,35.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",3,Divorced,1,No,7725.00,33.0,1,0,0.00
"Human Resources","Human Resources",3,Male,Medical,3,Married,4,No,10725.00,54.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,Medical,2,Divorced,3,Yes,8847.00,36.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,1,Single,3,No,3151.33,25.3,3,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,4,Single,3,Yes,1009.00,20.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Single,3,Yes,3348.00,33.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,Medical,1,Married,4,No,2819.00,23.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,4,Single,3,No,4028.00,38.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",2,Divorced,3,No,2720.00,29.0,1,0,0.00
Sales,"Sales Executive",2,Female,Medical,4,Divorced,3,Yes,4647.00,27.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,4,Married,3,Yes,2940.50,42.5,2,0,0.00
"Research & Development","Healthcare Representative",3,Female,Medical,4,Single,4,No,8621.00,34.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",1,Single,3,No,4577.00,24.0,1,1,100.00
"Research & Development","Healthcare Representative",2,Female,"Technical Degree",4,Single,3,No,4553.00,39.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,4,Single,2,No,5396.00,32.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Technical Degree",2,Married,3,Yes,6796.00,50.0,1,1,100.00
"Research & Development","Healthcare Representative",2,Female,"Life Sciences",2,Single,2,No,7625.00,38.0,1,0,0.00
"Research & Development","Research Director",3,Female,"Life Sciences",3,Single,3,No,11159.00,32.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,4,Single,3,No,4532.50,37.0,2,0,0.00
Sales,"Sales Executive",3,Male,"Life Sciences",4,Married,3,Yes,10475.00,40.0,1,0,0.00
"Research & Development","Research Director",4,Male,"Life Sciences",3,Married,3,No,16208.50,48.0,2,0,0.00
"Human Resources",Manager,5,Male,"Human Resources",2,Divorced,2,No,19141.00,41.0,1,0,0.00
"Research & Development","Manufacturing Director",3,Male,"Life Sciences",4,Divorced,2,No,8685.50,36.5,2,0,0.00
"Human Resources",Manager,5,Male,"Human Resources",4,Married,3,No,19189.00,41.0,1,0,0.00
Sales,"Sales Representative",1,Male,Marketing,4,Married,3,No,3875.00,50.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",1,Single,3,Yes,2324.00,30.0,2,2,100.00
"Research & Development","Manufacturing Director",3,Female,"Life Sciences",3,Single,4,Yes,7861.00,38.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,1,Single,3,No,3708.00,44.0,1,0,0.00
Sales,"Sales Executive",4,Female,Medical,4,Divorced,2,Yes,13770.00,47.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,3,Divorced,2,No,5304.00,30.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,3,Divorced,3,Yes,2759.00,42.0,1,1,100.00
"Research & Development","Healthcare Representative",2,Female,Medical,2,Single,3,No,6142.00,34.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,2,Married,4,No,2602.50,29.0,2,0,0.00
"Human Resources","Human Resources",2,Female,"Human Resources",3,Married,1,No,6389.00,39.0,1,0,0.00
"Research & Development","Healthcare Representative",4,Male,Medical,3,Married,2,No,11103.00,56.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,4,Single,2,Yes,2342.00,40.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,Medical,4,Single,1,No,6811.00,27.0,1,0,0.00
Sales,"Sales Representative",1,Male,Marketing,4,Divorced,3,No,2297.00,29.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",4,Single,3,No,2450.00,53.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Female,"Life Sciences",4,Divorced,4,No,5093.00,35.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",1,Married,3,No,5309.00,32.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,4,Married,1,Yes,3057.00,38.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",2,Divorced,3,No,5121.00,34.0,1,0,0.00
Sales,Manager,4,Male,Marketing,3,Married,4,No,16856.00,52.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Other,4,Single,2,Yes,2686.00,33.0,1,1,100.00
Sales,"Sales Executive",2,Female,Medical,3,Single,2,No,6180.00,25.0,1,0,0.00
Sales,"Sales Representative",2,Male,"Technical Degree",2,Single,3,No,6632.00,45.0,1,0,0.00
Sales,"Sales Executive",2,Male,Other,4,Single,3,No,5455.00,33.0,3,0,0.00
"Research & Development",Manager,5,Male,Medical,4,Married,3,Yes,19859.00,55.0,1,1,100.00
Sales,"Sales Executive",3,Male,"Life Sciences",1,Single,3,No,7733.50,37.5,2,0,0.00
"Research & Development","Healthcare Representative",2,Female,Medical,2,Married,2,No,4335.00,29.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Technical Degree",4,Single,2,No,5326.00,26.0,1,1,100.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",2,Single,3,No,2831.00,34.8,4,0,0.00
"Research & Development","Manufacturing Director",2,Female,Medical,4,Divorced,3,Yes,5485.00,54.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",4,Divorced,2,Yes,2402.00,36.0,2,1,50.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",1,Single,3,Yes,5980.00,38.0,1,0,0.00
